"ID","res","baseline_min_mat","baseline_1Q_mat","baseline_median_mat","baseline_mean_mat","baseline_3Q_mat","baseline_max_mat","baseline_sd_mat","trend_min_mat","trend_1Q_mat","trend_median_mat","trend_mean_mat","trend_3Q_mat","trend_max_mat","trend_sd_mat","Vel_min_mat","Vel_1Q_mat","Vel_median_mat","Vel_mean_mat","Vel_3Q_mat","Vel_max_mat","Vel_sd_mat","VelLat_min_mat","VelLat_1Q_mat","VelLat_median_mat","VelLat_mean_mat","VelLat_3Q_mat","VelLat_max_mat","VelLat_sd_mat","baseline_min_map","baseline_1Q_map","baseline_median_map","baseline_mean_map","baseline_3Q_map","baseline_max_map","baseline_sd_map","trend_min_map","trend_1Q_map","trend_median_map","trend_mean_map","trend_3Q_map","trend_max_map","trend_sd_map","Vel_min_map","Vel_1Q_map","Vel_median_map","Vel_mean_map","Vel_3Q_map","Vel_max_map","Vel_sd_map","VelLat_min_map","VelLat_1Q_map","VelLat_median_map","VelLat_mean_map","VelLat_3Q_map","VelLat_max_map","VelLat_sd_map","gVelEle_min_mat","gVelEle_1Q_mat","gVelEle_median_mat","gVelEle_mean_mat","gVelEle_3Q_mat","gVelEle_max_mat","gVelEle_sd_mat","baseline_min_sst","baseline_1Q_sst","baseline_median_sst","baseline_mean_sst","baseline_3Q_sst","baseline_max_sst","baseline_sd_sst","trend_min_sst","trend_1Q_sst","trend_median_sst","trend_mean_sst","trend_3Q_sst","trend_max_sst","trend_sd_sst","Vel_min_sst","Vel_1Q_sst","Vel_median_sst","Vel_mean_sst","Vel_3Q_sst","Vel_max_sst","Vel_sd_sst","VelLat_min_sst","VelLat_1Q_sst","VelLat_median_sst","VelLat_mean_sst","VelLat_3Q_sst","VelLat_max_sst","VelLat_sd_sst"
"A1_P1","110km",5.940472,7.0243732,7.8961693,8.163605,9.6293793,10.5252594,1.6441444,0.0564654,0.0586861,0.0595371,0.059655,0.0612319,0.0617953,0.0017857,2.1977122,2.7939066,3.3979719,3.3439903,3.5326422,5.0080385,0.824886,-1.9353131,-0.8725324,-0.7085572,0.0897528,1.12054,3.2622993,1.6498961,73.4617691,83.230545,84.2121811,89.1924002,98.1861687,106.2411041,10.0692125,-0.293585,-0.18893,-0.1065515,-0.1261836,-0.0571574,0.0198055,0.0949583,-1.7097007,-1.2964153,-0.9067268,-0.8869918,-0.4475056,-0.1324744,0.5555267,-1.5082896,-1.0846812,-0.8376917,-0.7243945,-0.2959202,0.0094079,0.5253461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1_P1","1km",0.8376581,4.7794669,6.4088619,6.5553707,8.4599586,10.748114,2.2606615,0.0596748,0.0600805,0.0602631,0.0602814,0.0604704,0.0609495,0.0002618,0.0259277,0.0423337,0.0584985,0.0718904,0.0868836,0.2350709,0.0434603,-0.211041,-0.0351452,-0.0026954,-0.0003423,0.0322459,0.2316174,0.0540112,77.705658,103.2348118,123.6567535,123.8146801,143.5327263,189.156311,24.6643264,-0.3328761,-0.2448594,-0.1997885,-0.2022934,-0.1530041,-0.090504,0.0583891,-0.0555599,-0.0244718,-0.0165554,-0.0196758,-0.0114953,-0.0074529,0.0105897,-0.052998,-0.009503,0.0009415,0.0002114,0.0089897,0.0415348,0.0132795,-0.0750605,-0.0552135,-0.0450505,-0.0456153,-0.034501,-0.0204078,0.0131662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1_P1","25km",0.9022393,3.7863689,6.2624844,6.009145,8.3968744,9.4637611,2.8261136,0.0592513,0.0595325,0.0598645,0.0598476,0.0600804,0.0605096,0.0003751,0.4475906,0.4670326,0.4973559,0.4947995,0.5145033,0.5611033,0.0326497,-0.469337,-0.3821701,-0.2895192,-0.3120978,-0.2267005,-0.1722482,0.1044576,95.7361221,101.1118965,107.8191566,107.1305858,111.5711842,118.3322449,7.1250909,-0.2704165,-0.2403499,-0.2039996,-0.1905646,-0.1460132,-0.0803659,0.0639156,-0.6036218,-0.49803,-0.3195351,-0.3513643,-0.2334625,-0.1231002,0.16389,-0.2808425,-0.0441856,0.0575554,0.0111168,0.1001239,0.1183197,0.1239892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1_P1","50km",6.8315346,7.4208397,8.0101448,8.0101448,8.5994499,9.188755,1.6668066,0.0600092,0.0600293,0.0600494,0.0600494,0.0600696,0.0600897,5.69e-05,1.2338191,1.2341916,1.2345641,1.2345641,1.2349366,1.2353091,0.0010536,NA,NA,NA,NA,NA,NA,NA,104.8598404,106.6544971,108.4491539,108.4491539,110.2438107,112.0384674,5.0760558,-0.2074743,-0.1819934,-0.1565125,-0.1565125,-0.1310316,-0.1055507,0.0720709,-1.3713323,-1.2165161,-1.0616999,-1.0616999,-0.9068837,-0.7520674,0.4378864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1_P2","110km",5.8343166,8.9125748,9.7184631,9.6188181,11.0084381,11.9081406,1.9528122,0.0444523,0.0465296,0.0477611,0.0478856,0.0499464,0.0508986,0.0022483,0.9150279,1.0290023,1.9017479,1.6840217,2.1504998,2.2138433,0.5481396,0.4045787,0.4982046,1.5702915,1.2644476,1.7246593,1.8269557,0.6168814,73.8629456,78.470871,81.109993,81.1438599,84.2930908,88.5271301,4.7197648,-0.47283,-0.3652987,-0.2038006,-0.2422377,-0.123775,-0.0858501,0.1453999,-4.1050797,-3.6214511,-2.5792673,-2.8140751,-2.5055549,-1.5496994,0.8788469,-3.7104402,-3.5847132,-2.2321422,-2.1123269,-0.6768402,-0.2568035,1.3974006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1_P2","1km",4.0872093,8.7583794,11.1141922,10.6000479,12.6724365,14.2414307,2.3977821,0.0474654,0.0476381,0.0478403,0.0478357,0.0479907,0.0482493,0.000212,0.0223951,0.0500492,0.0797456,0.1054241,0.1366095,0.3248725,0.0762411,-0.274281,-0.0167802,0.0350762,0.0371648,0.0718355,0.2849221,0.0741355,50.1263542,57.0149994,66.1064148,68.2978088,77.6901779,98.9686584,13.1715924,-0.3746074,-0.275993,-0.2305131,-0.2376384,-0.1904016,-0.1433757,0.0596852,-0.3185859,-0.1112966,-0.0597086,-0.0859219,-0.036407,-0.0199459,0.070694,-0.2077037,-0.0404861,-0.0212126,-0.0045639,0.0231043,0.3093394,0.0674243,-0.0855268,-0.0630121,-0.0526286,-0.0542553,-0.0434707,-0.0327342,0.0136267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1_P2","25km",9.3500244,10.8383722,12.2318653,12.0350772,13.2836712,14.47668,1.7099661,0.047426,0.0476312,0.047924,0.0479893,0.0483648,0.0486265,0.000437,0.4945773,0.5205099,0.5452152,0.5969908,0.6622454,0.8308154,0.1107789,0.1315751,0.1832017,0.2487939,0.2618277,0.3215522,0.4522999,0.1064635,57.4029045,61.5643263,66.2269669,65.9343878,70.6916428,74.8331528,5.8597991,-0.3255241,-0.3025422,-0.2284149,-0.2330586,-0.1760003,-0.1441172,0.0665995,-1.3674145,-0.9253507,-0.7804253,-0.8607033,-0.7262556,-0.6259385,0.2289172,-0.7799624,-0.6928852,-0.6610211,-0.6672425,-0.6211439,-0.5940549,0.0579692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1_P2","50km",12.5938881,12.8851526,13.1764172,13.1764172,13.4676817,13.7589462,0.8238205,0.0482023,0.0482705,0.0483387,0.0483387,0.0484069,0.0484751,0.0001929,1.97903,1.9815494,1.9840689,1.9840689,1.9865883,1.9891077,0.007126,NA,NA,NA,NA,NA,NA,NA,61.2581482,63.5226021,65.787056,65.787056,68.0515099,70.3159637,6.4048428,-0.1843896,-0.179075,-0.1737605,-0.1737605,-0.1684459,-0.1631314,0.0150318,-0.9668937,-0.9416429,-0.9163921,-0.9163921,-0.8911413,-0.8658905,0.0714201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A10_P1","110km",1.3348317,6.9569279,10.3624866,11.2658753,15.6654766,24.0775894,5.3977505,-0.0094785,0.0202748,0.0265326,0.026821,0.033461,0.0499506,0.0090869,0.9037735,1.8069741,2.6592253,2.8301299,3.7238638,6.3175964,1.2937744,-4.8406253,1.0793556,2.0986092,2.0488426,3.1663325,6.1654048,1.5853435,8.8411636,31.8548975,57.0193062,61.1784417,86.1483879,230.9265442,33.2092491,-0.4607826,-0.1427304,-0.0261227,-0.0299743,0.0760845,0.6736832,0.1632813,-9.615344,-3.328844,-0.5580711,-1.0479516,1.3805462,5.3082218,3.4748969,-8.9126492,-0.28312,0.3932507,0.6537346,1.5529271,9.2387066,2.0987764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A10_P1","1km",-5.6158169,7.8053814,11.1184929,11.7790599,15.9625992,25.3359467,5.2257752,-0.0151416,0.0199506,0.0257076,0.0262069,0.0324255,0.0487803,0.0092464,0.0297244,0.1611742,0.4114985,0.7392643,0.9717179,3.4009745,0.8334734,-3.0562489,-0.05754,0.0594786,0.252752,0.3950897,3.3725646,0.7298049,5.6547222,31.7683172,58.2489758,61.6130408,87.9391232,303.9008789,34.554594,-0.8967548,-0.1388736,-0.0134253,-0.0171725,0.0971084,1.1820487,0.184633,-0.6714767,-0.1038452,-0.0068565,-0.0360151,0.0661751,0.4551252,0.2294628,-0.6659983,-0.0383836,-0.0003632,-0.001895,0.0331878,0.6710423,0.1400113,-0.2076868,-0.0321629,-0.0031093,-0.0039771,0.0224901,0.2737604,0.0427607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A10_P1","25km",-0.8750694,7.6649214,10.9983456,11.7059766,15.8867168,25.1025574,5.2204949,-0.0139733,0.0201257,0.0259896,0.0264285,0.0326904,0.0490174,0.0092573,0.311791,0.9173191,1.710844,2.0823591,2.9326155,6.1096506,1.4550286,-5.8846207,0.1387819,0.9981297,1.2167274,2.171836,6.0735426,1.5895597,5.8503194,31.5558991,57.9291496,61.5452349,88.2949677,249.1366119,34.4154771,-0.666693,-0.1452104,-0.0184716,-0.0219326,0.0948323,1.0194262,0.1823642,-5.2870517,-1.6014501,-0.1690239,-0.3264209,1.0164121,4.1085858,2.2242978,-5.2698736,-0.2816928,0.0901447,0.2164479,0.7929358,5.2626023,1.3425978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A10_P1","50km",0.3959354,7.6189705,10.8145622,11.5800955,15.6988483,24.7719849,5.1318103,-0.0121982,0.0201653,0.0259789,0.0264116,0.0325908,0.0484286,0.0091278,0.4909189,1.2725911,2.1477096,2.4661231,3.4078364,6.3523989,1.4845774,-5.9968514,0.4587746,1.4673452,1.5879144,2.7115217,6.3426456,1.7371515,6.9807167,31.720602,57.4006214,61.3438801,87.7735386,231.6567993,33.6017109,-0.5270665,-0.1408182,-0.0193962,-0.021101,0.0887241,0.8725809,0.1765008,-6.3530035,-2.1781192,-0.2418677,-0.4754457,1.2099946,4.5731807,2.6245825,-6.1729536,-0.2329651,0.1808668,0.3644393,1.0769402,6.154254,1.5532232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P1","110km",4.6518929,5.8807467,6.800243,6.7173957,7.4980904,8.8175232,1.3522359,0.0119724,0.0120363,0.0121363,0.0121385,0.0122384,0.0122978,0.0001193,0.3377422,0.4128847,0.5312831,0.5462321,0.6382246,0.8149511,0.1745147,-0.1241889,0.1176379,0.2469798,0.2458735,0.3994241,0.5803368,0.2506491,76.7044601,87.7669983,93.7626801,92.9900169,97.9137497,111.8782578,10.9942066,-0.056428,0.0062675,0.0401853,0.0296144,0.0573839,0.089468,0.0489379,-0.6017428,0.0063956,0.3214244,0.3526188,0.7227266,1.41541,0.631037,-0.7794949,-0.53536,-0.3924366,-0.4167245,-0.283727,-0.0976325,0.2332005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P1","1km",-1.5946878,-0.7757904,0.0057147,-0.1569687,0.4728809,1.9099232,1.0130749,0.0123956,0.0123984,0.0124019,0.0124025,0.0124065,0.012413,5.3e-06,0.0053085,0.0067746,0.0084665,0.0090592,0.010487,0.0151939,0.0030501,-0.009029,-0.0062581,-0.0008073,-0.0017181,0.0027047,0.0037082,0.0046917,100.9624405,103.3907566,104.2205086,104.2571913,105.1725464,106.5902557,1.633416,0.0400776,0.0410866,0.0420084,0.0418235,0.0426187,0.0430181,0.0009886,0.0080349,0.0122096,0.0132609,0.0148278,0.0180563,0.0242215,0.0046057,-0.0162919,-0.0083159,-0.0067514,-0.0012726,0.0110899,0.0172518,0.0117304,0.0080316,0.0082338,0.0084185,0.0083815,0.0085408,0.0086209,0.0001981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P1","25km",0.2763304,0.4937122,0.5811738,0.7255396,0.8130012,1.4634803,0.5126657,0.0123556,0.0123603,0.0124053,0.0124046,0.0124497,0.0124523,5.31e-05,0.2202568,0.2983474,0.6552271,0.7765664,1.1334461,1.5755544,0.6314616,-1.3069496,-0.6612297,-0.1365283,-0.350001,0.1747004,0.1800021,0.7022174,70.4830475,73.5635853,80.6850662,80.3042717,87.4257526,89.3639069,9.1853615,0.0213924,0.0297093,0.0325994,0.0332744,0.0361646,0.0465066,0.0102829,0.0376918,0.0391934,0.0457469,0.0454688,0.0520224,0.0526896,0.0078752,0.0020172,0.0059454,0.0105734,0.0108203,0.0154482,0.0201172,0.0078756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P1","50km",1.8992886,2.7677629,3.4409046,4.1443577,4.8550402,8.4247047,2.1979164,0.0121498,0.0122062,0.0122854,0.0122999,0.01237,0.012512,0.0001315,0.086636,0.1064452,0.1871895,0.2249478,0.307155,0.4736088,0.1456155,-0.408061,-0.105659,0.0422862,-0.0566566,0.0572877,0.0659212,0.1728197,68.9498444,73.5060387,77.0659714,77.9296167,82.7911148,86.8971939,6.7342365,-0.0102869,-0.0002362,0.0121952,0.0191043,0.0342988,0.0636963,0.0273782,-0.0350132,-0.0005047,0.0398705,0.0479926,0.0956817,0.140737,0.0668322,-0.0272417,-0.02606,-0.0248322,-0.0235755,-0.0226244,-0.0155858,0.0040314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P2","110km",4.3792496,5.6100925,6.5322628,6.4492106,7.2321917,8.5565262,1.35545,0.0172639,0.0179232,0.0186835,0.018725,0.0194677,0.0202264,0.0010477,0.5276691,0.6267499,0.8222995,0.8437635,0.9735264,1.2771473,0.2750787,-0.2064646,0.1706802,0.3678613,0.368298,0.6083708,0.8778796,0.3876434,76.724884,86.0064754,91.0271072,91.109107,96.0205841,109.6584015,10.2681309,-0.1816934,-0.1275653,-0.1169958,-0.1146152,-0.0897577,-0.0683093,0.0371156,-2.3306355,-1.6381224,-1.2421457,-1.3409143,-0.9502149,-0.6379135,0.5428753,-1.8495109,-1.3716308,-0.9683966,-1.0192408,-0.6255947,-0.427548,0.5078694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P2","1km",-1.8669205,-1.047867,-0.2664294,-0.429018,0.2010654,1.6380814,1.0131596,0.0198821,0.0198896,0.0198969,0.019898,0.0199054,0.019924,1.15e-05,0.0085177,0.0108659,0.0135884,0.0145344,0.0168234,0.02437,0.0048942,-0.0144708,-0.0100328,-0.001294,-0.0027539,0.004341,0.0059494,0.0075243,98.4280853,100.7985115,101.632,101.6517684,102.5263004,103.91259,1.5984659,-0.1681029,-0.1646949,-0.1620536,-0.1627276,-0.1613281,-0.1570877,0.0034598,-0.1023718,-0.0709493,-0.0531064,-0.059523,-0.0468628,-0.0318351,0.0198284,-0.0712407,-0.0344488,-0.0271141,-0.006735,0.0416708,0.0676308,0.0471994,-0.0336879,-0.033005,-0.0324757,-0.0326107,-0.0323303,-0.0314805,0.0006934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P2","25km",0.0017342,0.2187852,0.3073402,0.4519831,0.5405381,1.1915179,0.5138106,0.0195423,0.019563,0.0196989,0.019701,0.0198369,0.019864,0.0001684,0.3486144,0.47399,1.0539469,1.257743,1.8376999,2.5744638,1.0364326,-2.1488972,-1.0934839,-0.2338142,-0.5828065,0.2768633,0.2852996,1.1497382,68.7311172,71.9310112,78.6827126,78.3305206,85.082222,87.2255402,8.8723924,-0.1298746,-0.129491,-0.1202093,-0.1183366,-0.1090548,-0.1030531,0.0134327,-0.2559518,-0.2042794,-0.1761836,-0.1851035,-0.1570077,-0.1320949,0.0523606,0.0119388,0.0192859,0.0506542,0.0533123,0.0846805,0.1000019,0.0431218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P2","50km",1.6241629,2.4934789,3.1691,3.8729153,4.5862728,8.1576408,2.2008596,0.0184628,0.0187744,0.0190825,0.0191867,0.0196018,0.0200088,0.0005908,0.1314776,0.1643188,0.2926653,0.3557333,0.4889684,0.7594156,0.2360587,-0.6546487,-0.170718,0.0641839,-0.0931312,0.088447,0.1030889,0.2759527,68.0868912,72.4389496,75.4622955,76.3656573,80.9263878,84.2797394,6.0918843,-0.1540008,-0.1433441,-0.1332032,-0.1277291,-0.1176636,-0.0848845,0.0243598,-0.6736889,-0.6168036,-0.4728562,-0.4760653,-0.3642915,-0.2237218,0.1718842,-0.4614483,-0.3061014,-0.2215702,-0.2265156,-0.1346553,-0.0210773,0.1481278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P3","110km",4.75853,5.9795303,6.8988899,6.8141533,7.5906696,8.9036453,1.3470577,0.0146837,0.0156333,0.0158269,0.0158758,0.016205,0.0168403,0.0006433,0.4150943,0.5505788,0.6984771,0.715473,0.8392303,1.0532522,0.2257848,-0.1527693,0.1633366,0.3350918,0.3289763,0.5242698,0.7651616,0.3261618,78.4898605,89.9735031,96.4599533,95.2004948,99.9021339,113.8250809,11.0740929,-0.1666774,-0.003404,0.0387577,0.019291,0.0925984,0.1124458,0.0973642,-1.7391185,-0.1406806,0.3829015,0.1908405,0.6987737,1.6803621,1.068624,-1.3946134,-0.9245181,-0.545641,-0.6425275,-0.3315686,-0.1384761,0.4275411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P3","1km",-1.4950253,-0.6762021,0.1049696,-0.0576292,0.5718807,2.0090809,1.0129158,0.0162542,0.0162672,0.0162751,0.0162737,0.0162806,0.0162916,1.08e-05,0.0069705,0.0088756,0.0111223,0.0118904,0.0137642,0.0199567,0.0040068,-0.0118623,-0.0081975,-0.0010615,-0.0022515,0.0035517,0.0048689,0.006157,103.9173431,106.4061546,107.2464561,107.2701473,108.2378998,109.6865311,1.6669445,0.0230524,0.0248297,0.0283163,0.0279227,0.0304882,0.0330299,0.0035395,0.0052469,0.0073403,0.0084813,0.0096405,0.0115237,0.0167131,0.0034236,-0.011644,-0.0063623,-0.0048112,-0.0016545,0.0059183,0.0106857,0.0075035,0.0046197,0.0049759,0.0056746,0.0055957,0.0061099,0.0066192,0.0007093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P3","25km",0.3780614,0.5955224,0.6820539,0.8262557,0.9127871,1.5628536,0.5116761,0.016053,0.016053,0.0161138,0.016118,0.0161788,0.0161913,7.54e-05,0.2884213,0.3893049,0.8395155,0.9881734,1.4383841,1.9852414,0.7905859,-1.6333258,-0.8212266,-0.162183,-0.4305129,0.2285307,0.2356403,0.8824479,72.3418884,75.4859753,82.9660912,82.5647984,90.0449142,91.9851227,9.5971516,0.0200342,0.0215379,0.0280417,0.028805,0.0353089,0.0391025,0.0092411,0.0259937,0.0330389,0.0388905,0.039032,0.0448837,0.0523535,0.0111362,0.0017346,0.0051815,0.0094595,0.0101695,0.0144475,0.0200245,0.0079343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A100_P3","50km",2.0012283,2.8690039,3.5414341,4.243482,4.9520224,8.5196594,2.1953751,0.0158751,0.0159756,0.0160922,0.0161266,0.016273,0.0164218,0.0002057,0.1167527,0.1414692,0.2440207,0.2910142,0.394955,0.6034777,0.1832671,-0.5210671,-0.134293,0.0569906,-0.0706039,0.0759151,0.0866054,0.2217901,70.640213,75.2813339,78.8842773,79.9236668,85.0520096,89.2744904,7.0242541,-0.0277254,-0.0105464,0.0073337,0.0140283,0.034836,0.0700105,0.0350167,-0.0806658,-0.0410107,0.0351655,0.030047,0.0963048,0.1452415,0.0887578,-0.0569712,-0.0473363,-0.0378909,-0.0364655,-0.0251868,-0.0153503,0.0158862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A102_P1","110km",17.7102615,18.0299149,18.3495682,18.3495682,18.6692215,18.9888748,0.9041161,-0.001956,-0.0018675,-0.001779,-0.001779,-0.0016906,-0.0016021,0.0002503,-0.1729536,-0.1658527,-0.1587518,-0.1587518,-0.1516509,-0.14455,0.0200844,NA,NA,NA,NA,NA,NA,NA,180.6878357,183.061554,185.4352722,185.4352722,187.8089905,190.1827087,6.7138891,-3.5849402,-3.2970434,-3.0091467,-3.0091467,-2.7212499,-2.4333532,0.814295,-42.4068222,-39.2955251,-36.1842279,-36.1842279,-33.0729308,-29.9616337,8.8000772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A102_P1","1km",5.3659588,7.2542704,8.0688282,8.0317991,9.0669968,10.7992622,1.5028081,-0.0015302,-0.001491,-0.0014167,-0.0013631,-0.0012869,-0.0010141,0.0001543,-0.0022967,-0.0014383,-0.0011684,-0.0013104,-0.0009728,-0.0007435,0.0004862,-0.0017922,-0.0007304,-0.0004273,-0.0002833,0.0001962,0.0015656,0.0008158,139.7250061,165.615181,176.0493851,175.9774602,193.5794525,203.9573975,18.527863,-2.0783637,-1.9427319,-1.8227776,-1.8187618,-1.7042759,-1.4773973,0.1732225,-0.3887686,-0.1922042,-0.1327822,-0.1654613,-0.1152357,-0.1022086,0.0754533,-0.2640933,0.0375463,0.0606449,0.0651702,0.1056448,0.2165266,0.0978507,-0.5647727,-0.5279163,-0.49532,-0.4942287,-0.4631184,-0.4014667,0.0470713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A102_P1","25km",11.7206535,12.1534552,13.1356247,13.6217458,14.5381214,16.9068863,1.9795328,-0.0029196,-0.0021187,-0.0006553,-0.0006314,0.0006478,0.0019664,0.0019166,-0.0456409,-0.0283613,-0.0081703,-0.0128063,0.0020206,0.0148178,0.0231597,0.0014838,0.0053516,0.0059501,0.0152906,0.0242605,0.0428436,0.0170272,169.256485,183.2573929,197.2124557,194.3241552,207.811882,212.3128052,17.0426538,-2.8777459,-2.5593582,-2.1584014,-2.2435007,-1.9008541,-1.7584401,0.4540058,-3.26156,-2.8070489,-2.514842,-2.5912554,-2.3223855,-2.0936041,0.4239755,-1.0062103,-0.4799466,0.3896288,0.5617048,1.2803481,2.7897322,1.4270531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A102_P1","50km",14.5144669,14.8516098,15.1148064,15.4919945,15.755191,17.2238983,1.1951407,-0.0037691,-0.0024987,-0.0007956,-0.0006871,0.001016,0.002612,0.0028096,-0.2321032,-0.1127221,-0.0301979,-0.057483,0.0250412,0.0625672,0.1291575,-0.2082008,-0.1103088,-0.0698877,-0.0900937,-0.0496727,-0.0123985,0.083514,177.624115,182.0882721,195.5886307,196.2472153,209.7475739,216.1874847,18.5642369,-2.8870964,-2.6758665,-2.5322224,-2.4676207,-2.3239765,-1.9189416,0.4066456,-3.1328208,-3.0717373,-2.6309534,-2.6338166,-2.1930327,-2.1405387,0.5309913,-0.1882699,-0.1090613,0.3012797,0.7151196,1.1254606,2.4461887,1.2179295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
